host,url
YouTube, "http://www.youtube.com/watch?v=yiSjHJnc9CY"
Dailymotion, "http://www.dailymotion.com/video/xgv8nw_david-guetta-who-s-that-chick_music"
Vimeo, "http://vimeo.com/channels/staffpicks/99585787"
MyVideo, "http://www.myvideo.de/watch/7645001/Lena_Nach_Poolszene_bald_nackt_im_Playboy"
ClipFish, "http://www.clipfish.de/musikvideos/video/3486922/nicole-scherzinger-poison"
videojug, "http://www.videojug.com/film/summer-party-look-with-daniel-sandler"
Ustream, "http://www.ustream.tv/channel/america2oficial"
Screencast, "http://www.screencast.com/t/Hh4ulI0M"
